Point_Index,X_Coordinate,Y_Coordinate,U_Numerical,U_Analytical,Error
61, 1.80000000E-01, 2.00000000E-02, 2.09428103E-04, 1.70446765E-03, 1.49503955E-03
62, 2.00000000E-01, 2.00000000E-02, 2.35713528E-04, 1.86974776E-03, 1.63403423E-03
63, 2.20000000E-01, 2.00000000E-02, 2.59232931E-04, 2.02764882E-03, 1.76841589E-03
64, 2.40000000E-01, 2.00000000E-02, 2.74866260E-04, 2.17754768E-03, 1.90268142E-03
65, 2.60000000E-01, 2.00000000E-02, 2.62227844E-04, 2.31885276E-03, 2.05662492E-03
66, 2.80000000E-01, 2.00000000E-02, 3.40708462E-04, 2.45100639E-03, 2.11029792E-03
67, 3.00000000E-01, 2.00000000E-02, 3.87931651E-04, 2.57348701E-03, 2.18555536E-03
68, 3.20000000E-01, 2.00000000E-02, 4.19169346E-04, 2.68581125E-03, 2.26664191E-03
69, 3.40000000E-01, 2.00000000E-02, 4.36346448E-04, 2.78753583E-03, 2.35118938E-03
70, 3.60000000E-01, 2.00000000E-02, 4.36711849E-04, 2.87825927E-03, 2.44154742E-03
71, 3.80000000E-01, 2.00000000E-02, 4.26614354E-04, 2.95762354E-03, 2.53100919E-03
72, 4.00000000E-01, 2.00000000E-02, 4.08274049E-04, 3.02531542E-03, 2.61704137E-03
73, 4.20000000E-01, 2.00000000E-02, 3.85552465E-04, 3.08106776E-03, 2.69551530E-03
74, 4.40000000E-01, 2.00000000E-02, 3.60716871E-04, 3.12466054E-03, 2.76394367E-03
75, 4.60000000E-01, 2.00000000E-02, 3.42877362E-04, 3.15592171E-03, 2.81304434E-03
76, 4.80000000E-01, 2.00000000E-02, 3.58819979E-04, 3.17472789E-03, 2.81590791E-03
77, 5.00000000E-01, 2.00000000E-02, 4.02773866E-04, 3.18100488E-03, 2.77823101E-03
78, 5.20000000E-01, 2.00000000E-02, 3.80893073E-04, 3.17472789E-03, 2.79383482E-03
79, 5.40000000E-01, 2.00000000E-02, 3.76876207E-04, 3.15592171E-03, 2.77904550E-03
80, 5.60000000E-01, 2.00000000E-02, 3.72168851E-04, 3.12466054E-03, 2.75249169E-03
81, 5.80000000E-01, 2.00000000E-02, 3.40222819E-04, 3.08106776E-03, 2.74084494E-03
82, 6.00000000E-01, 2.00000000E-02, 4.48797733E-04, 3.02531542E-03, 2.57651769E-03
83, 6.20000000E-01, 2.00000000E-02, 5.26630389E-04, 2.95762354E-03, 2.43099315E-03
84, 6.40000000E-01, 2.00000000E-02, 5.66969354E-04, 2.87825927E-03, 2.31128992E-03
85, 6.60000000E-01, 2.00000000E-02, 5.63723262E-04, 2.78753583E-03, 2.22381256E-03
86, 6.80000000E-01, 2.00000000E-02, 5.24062846E-04, 2.68581125E-03, 2.16174841E-03
87, 7.00000000E-01, 2.00000000E-02, 4.65572728E-04, 2.57348701E-03, 2.10791428E-03
88, 7.20000000E-01, 2.00000000E-02, 3.82822716E-04, 2.45100639E-03, 2.06818367E-03
89, 7.40000000E-01, 2.00000000E-02, 3.03423306E-04, 2.31885276E-03, 2.01542946E-03
90, 7.60000000E-01, 2.00000000E-02, 2.37180180E-04, 2.17754768E-03, 1.94036750E-03
91, 7.80000000E-01, 2.00000000E-02, 1.89725173E-04, 2.02764882E-03, 1.83792365E-03
92, 8.00000000E-01, 2.00000000E-02, 1.73829671E-04, 1.86974776E-03, 1.69591808E-03
93, 8.20000000E-01, 2.00000000E-02, 2.12857766E-04, 1.70446765E-03, 1.49160988E-03
94, 8.40000000E-01, 2.00000000E-02, 1.25749558E-04, 1.53246079E-03, 1.40671123E-03
95, 8.60000000E-01, 2.00000000E-02, 1.02089107E-04, 1.35440600E-03, 1.25231690E-03
96, 8.80000000E-01, 2.00000000E-02, 8.91761145E-05, 1.17100600E-03, 1.08182988E-03
97, 9.00000000E-01, 2.00000000E-02, 7.51483774E-05, 9.82984567E-04, 9.07836190E-04
98, 9.20000000E-01, 2.00000000E-02, 6.75616289E-05, 7.91083745E-04, 7.23522116E-04
99, 9.40000000E-01, 2.00000000E-02, 5.42227750E-05, 5.96060876E-04, 5.41838101E-04
100, 9.60000000E-01, 2.00000000E-02, 3.77464241E-05, 3.98685628E-04, 3.60939204E-04
101, 9.80000000E-01, 2.00000000E-02, 1.93539145E-05, 1.99736949E-04, 1.80383035E-04
102, 1.00000000E+00, 2.00000000E-02, 0.00000000E+00, 3.89560744E-19, 3.89560744E-19
103, 0.00000000E+00, 4.00000000E-02, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
104, 2.00000000E-02, 4.00000000E-02, 6.80773000E-05, 3.98685628E-04, 3.30608328E-04
105, 4.00000000E-02, 4.00000000E-02, 1.16511291E-04, 7.95797825E-04, 6.79286534E-04
106, 6.00000000E-02, 4.00000000E-02, 1.61099412E-04, 1.18976937E-03, 1.02866996E-03
107, 8.00000000E-02, 4.00000000E-02, 2.02566700E-04, 1.57904544E-03, 1.37647874E-03
108, 1.00000000E-01, 4.00000000E-02, 2.38795125E-04, 1.96208974E-03, 1.72329462E-03
109, 1.20000000E-01, 4.00000000E-02, 2.67912704E-04, 2.33739057E-03, 2.06947787E-03
110, 1.40000000E-01, 4.00000000E-02, 2.92965606E-04, 2.70346679E-03, 2.41050118E-03
111, 1.60000000E-01, 4.00000000E-02, 3.50100514E-04, 3.05887365E-03, 2.70877314E-03
112, 1.80000000E-01, 4.00000000E-02, 4.06605633E-04, 3.40220854E-03, 2.99560291E-03
113, 2.00000000E-01, 4.00000000E-02, 4.59430140E-04, 3.73211647E-03, 3.27268633E-03
114, 2.20000000E-01, 4.00000000E-02, 5.10342263E-04, 4.04729544E-03, 3.53695318E-03
115, 2.40000000E-01, 4.00000000E-02, 5.60811037E-04, 4.34650158E-03, 3.78569055E-03
116, 2.60000000E-01, 4.00000000E-02, 6.13498664E-04, 4.62855407E-03, 4.01505541E-03
117, 2.80000000E-01, 4.00000000E-02, 6.93321984E-04, 4.89233977E-03, 4.19901778E-03
118, 3.00000000E-01, 4.00000000E-02, 7.71529357E-04, 5.13681764E-03, 4.36528828E-03
119, 3.20000000E-01, 4.00000000E-02, 8.31192969E-04, 5.36102283E-03, 4.52982986E-03
120, 3.40000000E-01, 4.00000000E-02, 8.67495096E-04, 5.56407052E-03, 4.69657542E-03
121, 3.60000000E-01, 4.00000000E-02, 8.61160770E-04, 5.74515936E-03, 4.88399859E-03
122, 3.80000000E-01, 4.00000000E-02, 8.38119057E-04, 5.90357469E-03, 5.06545563E-03
123, 4.00000000E-01, 4.00000000E-02, 7.97042445E-04, 6.03869130E-03, 5.24164886E-03
124, 4.20000000E-01, 4.00000000E-02, 7.48891804E-04, 6.14997596E-03, 5.40108415E-03
125, 4.40000000E-01, 4.00000000E-02, 6.89766325E-04, 6.23698947E-03, 5.54722314E-03
126, 4.60000000E-01, 4.00000000E-02, 6.27054441E-04, 6.29938843E-03, 5.67233399E-03
127, 4.80000000E-01, 4.00000000E-02, 6.64562042E-04, 6.33692659E-03, 5.67236454E-03
128, 5.00000000E-01, 4.00000000E-02, 7.04739102E-04, 6.34945579E-03, 5.64471669E-03
129, 5.20000000E-01, 4.00000000E-02, 7.18855573E-04, 6.33692659E-03, 5.61807101E-03
130, 5.40000000E-01, 4.00000000E-02, 7.29524746E-04, 6.29938843E-03, 5.56986369E-03
131, 5.60000000E-01, 4.00000000E-02, 7.46905048E-04, 6.23698947E-03, 5.49008442E-03
132, 5.80000000E-01, 4.00000000E-02, 7.87545407E-04, 6.14997596E-03, 5.36243055E-03
133, 6.00000000E-01, 4.00000000E-02, 9.04450789E-04, 6.03869130E-03, 5.13424051E-03
134, 6.20000000E-01, 4.00000000E-02, 1.06740201E-03, 5.90357469E-03, 4.83617268E-03
135, 6.40000000E-01, 4.00000000E-02, 1.15479794E-03, 5.74515936E-03, 4.59036142E-03
136, 6.60000000E-01, 4.00000000E-02, 1.14185135E-03, 5.56407052E-03, 4.42221917E-03
137, 6.80000000E-01, 4.00000000E-02, 1.04574908E-03, 5.36102283E-03, 4.31527375E-03
138, 7.00000000E-01, 4.00000000E-02, 9.35085913E-04, 5.13681764E-03, 4.20173172E-03
139, 7.20000000E-01, 4.00000000E-02, 7.42942459E-04, 4.89233977E-03, 4.14939731E-03
140, 7.40000000E-01, 4.00000000E-02, 5.75381399E-04, 4.62855407E-03, 4.05317267E-03
141, 7.60000000E-01, 4.00000000E-02, 4.38379016E-04, 4.34650158E-03, 3.90812257E-03
142, 7.80000000E-01, 4.00000000E-02, 3.31881167E-04, 4.04729544E-03, 3.71541427E-03
143, 8.00000000E-01, 4.00000000E-02, 2.77972810E-04, 3.73211647E-03, 3.45414366E-03
144, 8.20000000E-01, 4.00000000E-02, 2.46861714E-04, 3.40220854E-03, 3.15534683E-03
145, 8.40000000E-01, 4.00000000E-02, 1.75951532E-04, 3.05887365E-03, 2.88292212E-03
146, 8.60000000E-01, 4.00000000E-02, 1.82736797E-04, 2.70346679E-03, 2.52072999E-03
147, 8.80000000E-01, 4.00000000E-02, 1.70221080E-04, 2.33739057E-03, 2.16716949E-03
148, 9.00000000E-01, 4.00000000E-02, 1.56230378E-04, 1.96208974E-03, 1.80585937E-03
149, 9.20000000E-01, 4.00000000E-02, 1.34629216E-04, 1.57904544E-03, 1.44441623E-03
150, 9.40000000E-01, 4.00000000E-02, 1.06876739E-04, 1.18976937E-03, 1.08289263E-03
151, 9.60000000E-01, 4.00000000E-02, 7.42611113E-05, 7.95797825E-04, 7.21536714E-04
152, 9.80000000E-01, 4.00000000E-02, 3.80921743E-05, 3.98685628E-04, 3.60593453E-04
153, 1.00000000E+00, 4.00000000E-02, 1.46074184E-05, 7.77584071E-19, 1.46074184E-05
154, 0.00000000E+00, 6.00000000E-02, 4.26057605E-05, 0.00000000E+00, 4.26057605E-05
155, 2.00000000E-02, 6.00000000E-02, 1.20641776E-04, 5.96060876E-04, 4.75419100E-04
156, 4.00000000E-02, 6.00000000E-02, 1.72206491E-04, 1.18976937E-03, 1.01756288E-03
157, 6.00000000E-02, 6.00000000E-02, 2.34078671E-04, 1.77878239E-03, 1.54470372E-03
158, 8.00000000E-02, 6.00000000E-02, 2.94701154E-04, 2.36077537E-03, 2.06607422E-03
159, 1.00000000E-01, 6.00000000E-02, 3.47054982E-04, 2.93345145E-03, 2.58639647E-03
160, 1.20000000E-01, 6.00000000E-02, 3.82578417E-04, 3.49455053E-03, 3.11197211E-03
161, 1.40000000E-01, 6.00000000E-02, 3.76390675E-04, 4.04185822E-03, 3.66546755E-03
162, 1.60000000E-01, 6.00000000E-02, 4.94743604E-04, 4.57321454E-03, 4.07847094E-03
163, 1.80000000E-01, 6.00000000E-02, 5.80601014E-04, 5.08652248E-03, 4.50592146E-03
164, 2.00000000E-01, 6.00000000E-02, 6.55591525E-04, 5.57975623E-03, 4.92416470E-03
165, 2.20000000E-01, 6.00000000E-02, 7.29938781E-04, 6.05096923E-03, 5.32103045E-03
166, 2.40000000E-01, 6.00000000E-02, 8.10218361E-04, 6.49830183E-03, 5.68808346E-03
167, 2.60000000E-01, 6.00000000E-02, 9.01088192E-04, 6.91998859E-03, 6.01890040E-03
168, 2.80000000E-01, 6.00000000E-02, 1.00892309E-03, 7.31436532E-03, 6.30544224E-03
169, 3.00000000E-01, 6.00000000E-02, 1.13311214E-03, 7.67987559E-03, 6.54676346E-03
170, 3.20000000E-01, 6.00000000E-02, 1.22424914E-03, 8.01507691E-03, 6.79082777E-03
171, 3.40000000E-01, 6.00000000E-02, 1.29734806E-03, 8.31864637E-03, 7.02129831E-03
172, 3.60000000E-01, 6.00000000E-02, 1.25695512E-03, 8.58938594E-03, 7.33243082E-03
173, 3.80000000E-01, 6.00000000E-02, 1.22104590E-03, 8.82622713E-03, 7.60518122E-03
174, 4.00000000E-01, 6.00000000E-02, 1.14520527E-03, 9.02823523E-03, 7.88302995E-03
175, 4.20000000E-01, 6.00000000E-02, 1.07464772E-03, 9.19461301E-03, 8.11996529E-03
176, 4.40000000E-01, 6.00000000E-02, 9.73156890E-04, 9.32470385E-03, 8.35154696E-03
177, 4.60000000E-01, 6.00000000E-02, 7.61274056E-04, 9.41799435E-03, 8.65672029E-03
178, 4.80000000E-01, 6.00000000E-02, 9.17600280E-04, 9.47411633E-03, 8.55651605E-03
179, 5.00000000E-01, 6.00000000E-02, 9.82631634E-04, 9.49284829E-03, 8.51021666E-03
180, 5.20000000E-01, 6.00000000E-02, 1.01023100E-03, 9.47411633E-03, 8.46388532E-03
181, 5.40000000E-01, 6.00000000E-02, 1.02572418E-03, 9.41799435E-03, 8.39227017E-03
182, 5.60000000E-01, 6.00000000E-02, 1.04913589E-03, 9.32470385E-03, 8.27556796E-03
183, 5.80000000E-01, 6.00000000E-02, 1.11004471E-03, 9.19461301E-03, 8.08456830E-03
184, 6.00000000E-01, 6.00000000E-02, 1.26637841E-03, 9.02823523E-03, 7.76185681E-03
185, 6.20000000E-01, 6.00000000E-02, 1.63711616E-03, 8.82622713E-03, 7.18911097E-03
186, 6.40000000E-01, 6.00000000E-02, 1.79760709E-03, 8.58938594E-03, 6.79177885E-03
187, 6.60000000E-01, 6.00000000E-02, 1.75920298E-03, 8.31864637E-03, 6.55944340E-03
188, 6.80000000E-01, 6.00000000E-02, 1.53966731E-03, 8.01507691E-03, 6.47540960E-03
189, 7.00000000E-01, 6.00000000E-02, 1.44552084E-03, 7.67987559E-03, 6.23435475E-03
190, 7.20000000E-01, 6.00000000E-02, 1.03985198E-03, 7.31436532E-03, 6.27451335E-03
191, 7.40000000E-01, 6.00000000E-02, 7.80237214E-04, 6.91998859E-03, 6.13975138E-03
192, 7.60000000E-01, 6.00000000E-02, 5.74762168E-04, 6.49830183E-03, 5.92353966E-03
193, 7.80000000E-01, 6.00000000E-02, 3.89519316E-04, 6.05096923E-03, 5.66144992E-03
194, 8.00000000E-01, 6.00000000E-02, 3.29954875E-04, 5.57975623E-03, 5.24980135E-03
